ai_type,fintech_type
"Checking and savings accounts","Clustering Algorithms"
"Credit cards","Artificial Neural Network Algorithms"
"Credit cards","Artificial Neural Network Algorithms"
"Credit cards","Artificial Neural Network Algorithms"
"Credit cards","Combination of algorithms"
"Credit cards","Bayesian Algorithms"
"Credit cards","Combination of algorithms"
"Credit cards","Regression Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Clustering Algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Dimensionality Reduction Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Regression Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Artificial Neural Network Algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Association Rule Learning Algorithms"
"Credit Risk","Association Rule Learning Algorithms"
"Credit Risk","Bayesian Algorithms"
"Credit Risk","Bayesian Algorithms"
"Credit Risk","Bayesian Algorithms"
"Credit Risk","Bayesian Algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Combination of algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Decision Tree Algorithms"
"Credit Risk","Deep Learning Algorithms"
"Credit Risk","Dimensionality Reduction Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Ensemble Algorithms"
"Credit Risk","Genetic programming"
"Credit Risk","Genetic programming"
"Credit Risk","Genetic programming"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","Instance-based Algorithms"
"Credit Risk","NA"
"Credit Risk","NA"
"Credit Risk","NA"
"Credit Risk","Regression Algorithms"
"Credit Risk","Regression Algorithms"
"Credit Risk","Regression Algorithms"
"Cryptocurrency","NA"
"Cryptocurrency","Artificial Neural Network Algorithms"
"Cryptocurrency","Regression Algorithms"
"Cryptocurrency","NA"
"Cryptocurrency","Regression Algorithms"
"Customer Due Diligence","Combination of algorithms"
"Customer Due Diligence","Combination of algorithms"
"Customer Due Diligence","NA"
"Customer Due Diligence","Regression Algorithms"
"Customer Due Diligence","Reinforcement learning"
"E-Banking","Clustering Algorithms"
"E-Banking","NA"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Bayesian Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Artificial Neural Network Algorithms"
"Fraud Detection","Clustering Algorithms"
"Fraud Detection","Combination of algorithms"
"Fraud Detection","Combination of algorithms"
"Fraud Detection","Combination of algorithms"
"Fraud Detection","Combination of algorithms"
"Fraud Detection","Decision Tree Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Instance-based Algorithms"
"Fraud Detection","NA"
"Fraud Detection","Regression Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Deep Learning Algorithms"
"Fraud Detection","Regression Algorithms"
"Fraud Detection","Ensemble Algorithms"
"Fraud Detection","Instance-based Algorithms"
"Fraud Detection","NA"
"Fraud Detection","Regression Algorithms"
"Fraud Detection","Regression Algorithms"
"Intrusion Detection","Artificial Neural Network Algorithms"
"Intrusion Detection","Deep Learning Algorithms"
"Intrusion Detection","Instance-based Algorithms"
"Loans and other credit products","Artificial Neural Network Algorithms"
"Loans and other credit products","Deep Learning Algorithms"
"Loans and other credit products","Artificial Neural Network Algorithms"
"Loans and other credit products","Instance-based Algorithms"
"Loans and other credit products","NA"
"Loans and other credit products","NA"
"Loans and other credit products","Regression Algorithms"
"Malware","Clustering Algorithms"
"Malware","Deep Learning Algorithms"
"Malware","Deep Learning Algorithms"
"Malware","Regression Algorithms"
"Malware","Decision Tree Algorithms"
"Malware","Ensemble Algorithms"
"Malware","Instance-based Algorithms"
"Malware","Instance-based Algorithms"
"Malware","Reinforcement learning"
"Market Risk","Combination of algorithms"
"Market Risk","Combination of algorithms"
"Market Risk","Regression Algorithms"
"Market Risk","Ensemble Algorithms"
"Mergers & Acquisitions","Artificial Neural Network Algorithms"
"Mergers & Acquisitions","NA"
"Mergers & Acquisitions","NA"
"Monetary policy","Genetic programming"
