research_type,ai_type
"Evaluation Research","Clustering Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Combination of algorithms"
"Solution Proposal","Bayesian Algorithms"
"Solution Proposal","Combination of algorithms"
"Solution Proposal","Regression Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Evaluation Research","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Clustering Algorithms"
"Solution Proposal","Deep Learning Algorithms"
"Solution Proposal","Dimensionality Reduction Algorithms"
"Solution Proposal","Ensemble Algorithms"
"Evaluation Research","Ensemble Algorithms"
"Solution Proposal","Regression Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Artificial Neural Network Algorithms"
"Solution Proposal","Combination of algorithms"
"Solution Proposal","Deep Learning Algorithms"
"Solution Proposal","Deep Learning Algorithms"
"Solution Proposal","Deep Learning Algorithms"
"Solution Proposal","Deep Learning Algorithms"
"Solution Proposal","Association Rule Learning Algorithms"
